Date,Year,Month,MonthName,Account,Category,Note,Type,Amount,SignedAmount
,,,,CUB - online payment,Other,From vicky,Income,80.0,80.0
,,,,CUB - online payment,Other,From ganesan,Income,40.0,40.0
,,,,CUB - online payment,Food,Coconut water with stu,Expense,50.0,-50.0
,,,,CUB - online payment,Food,Dinner with barath,Expense,504.0,-504.0
,,,,CUB - online payment,Transportation,Cab,Expense,306.0,-306.0
,,,,CUB - online payment,Self-Development,Books,Expense,400.0,-400.0
,,,,CUB - online payment,Food,Corn,Expense,30.0,-30.0
,,,,CUB - online payment,Food,Water,Expense,30.0,-30.0
,,,,CUB - online payment,Food,Milk with bharath,Expense,40.0,-40.0
,,,,CUB - online payment,Social Life,Beer,Expense,150.0,-150.0
,,,,CUB - online payment,Food,Lunch with company,Expense,262.0,-262.0
,,,,CUB - online payment,Food,Lemon tea with company,Expense,15.0,-15.0
,,,,CUB - online payment,Food,Puffs and coffee,Expense,32.0,-32.0
,,,,CUB - online payment,Food,Dinner with barath,Expense,239.0,-239.0
,,,,CUB - online payment,Food,Puffs,Expense,25.0,-25.0
,,,,CUB - online payment,Food,Bun,Expense,18.0,-18.0
,,,,CUB - online payment,Food,Milk with bharath,Expense,80.0,-80.0
,,,,CUB - online payment,Transportation,Taxi,Expense,80.0,-80.0
,,,,CUB - online payment,Food,Snacks,Expense,20.0,-20.0
,,,,CUB - online payment,Food,Water,Expense,20.0,-20.0
,,,,CUB - online payment,Food,Lunch with barath,Expense,85.0,-85.0
,,,,CUB - online payment,Food,Milk with bharath,Expense,40.0,-40.0
,,,,CUB - online payment,Other,To siva,Expense,100.0,-100.0
,,,,CUB - online payment,Other,To kumara,Expense,100.0,-100.0
,,,,CUB - online payment,Other,To abijith,Expense,200.0,-200.0
,,,,CUB - online payment,Food,To rahul,Expense,113.0,-113.0
,,,,CUB - online payment,Allowance,From dad,Income,1000.0,1000.0
,,,,CUB - online payment,Other,Lended money,Income,400.0,400.0
,,,,CUB - online payment,Social Life,Spiderman,Expense,363.72,-363.72
,,,,CUB - online payment,Food,Lunch,Expense,160.0,-160.0
,,,,CUB - online payment,Food,Milk with bharath,Expense,70.0,-70.0
,,,,CUB - online payment,Food,Lunch with company,Expense,110.0,-110.0
,,,,CUB - online payment,Other,Gave to gowdham,Expense,50.0,-50.0
,,,,CUB - online payment,Food,Egg,Expense,30.0,-30.0
,,,,CUB - online payment,Food,Panipoori,Expense,20.0,-20.0
,,,,CUB - online payment,Food,Lunch,Expense,30.0,-30.0
,,,,CUB - online payment,Food,Milk with bharath,Expense,110.0,-110.0
,,,,CUB - online payment,Food,Lunch,Expense,40.0,-40.0
,,,,CUB - online payment,Food,Snacks,Expense,75.0,-75.0
,,,,CUB - online payment,Food,Panipoori,Expense,80.0,-80.0
,,,,CUB - online payment,Food,Snacks,Expense,74.0,-74.0
,,,,CUB - online payment,Food,Milk with bharath,Expense,65.0,-65.0
2021-12-12 21:47:00,2021.0,12.0,2021-12,CUB - online payment,Food,Milk with bharath,Expense,25.0,-25.0
